codes,names,borough,population,hectare,sq_km,pop_per_hectare,pop_sq_km
E05000418,Clapham Common,Lambeth,"14,666",134.3,1.3,109.2,"10,920"
E05000419,Clapham Town,Lambeth,"15,431",112,1.1,137.8,"13,778"
E05000420,Coldharbour,Lambeth,"18,610",120.8,1.2,154.1,"15,406"
E05000421,Ferndale,Lambeth,"17,587",85.3,0.9,206.2,"20,618"
E05000422,Gipsy Hill,Lambeth,"14,991",157,1.6,95.5,"9,548"
E05000423,Herne Hill,Lambeth,"16,823",203.2,2.0,82.8,"8,279"
E05000424,Knight's Hill,Lambeth,"15,645",147.3,1.5,106.2,"10,621"
E05000425,Larkhall,Lambeth,"19,905",105.9,1.1,188.0,"18,796"
E05000426,Oval,Lambeth,"19,718",127.5,1.3,154.7,"15,465"
E05000427,Prince's,Lambeth,"17,316",116.2,1.2,149.0,"14,902"
E05000428,St. Leonard's,Lambeth,"16,526",144.9,1.4,114.1,"11,405"
E05000429,Stockwell,Lambeth,"15,991",86.9,0.9,184.0,"18,402"
E05000430,Streatham Hill,Lambeth,"16,276",127.3,1.3,127.9,"12,786"
E05000431,Streatham South,Lambeth,"14,994",169.8,1.7,88.3,"8,830"
E05000432,Streatham Wells,Lambeth,"17,275",145.1,1.5,119.1,"11,906"
E05000433,Thornton,Lambeth,"15,397",108.3,1.1,142.2,"14,217"
E05000434,Thurlow Park,Lambeth,"14,636",151.5,1.5,96.6,"9,661"
E05000435,Tulse Hill,Lambeth,"16,326",102.9,1.0,158.7,"15,866"
E05000436,Vassall,Lambeth,"17,087",112.9,1.1,151.3,"15,135"
E05000437,Bellingham,Lewisham,"16,287",308.5,3.1,52.8,"5,279"
E05000438,Blackheath,Lewisham,"15,815",231.3,2.3,68.4,"6,837"
E05000439,Brockley,Lewisham,"19,249",168.6,1.7,114.2,"11,417"
E05000440,Catford South,Lewisham,"15,806",186.8,1.9,84.6,"8,461"
E05000441,Crofton Park,Lewisham,"15,974",172.1,1.7,92.8,"9,282"
E05000442,Downham,Lewisham,"15,644",238.9,2.4,65.5,"6,548"
E05000443,Evelyn,Lewisham,"26,093",177.4,1.8,147.1,"14,709"
E05000444,Forest Hill,Lewisham,"17,171",182.8,1.8,93.9,"9,393"
E05000445,Grove Park,Lewisham,"15,630",239.2,2.4,65.3,"6,534"
E05000446,Ladywell,Lewisham,"15,436",160.9,1.6,95.9,"9,594"
E05000447,Lee Green,Lewisham,"16,521",180.9,1.8,91.3,"9,133"
E05000448,Lewisham Central,Lewisham,"26,443",205.6,2.1,128.6,"12,861"
E05000449,New Cross,Lewisham,"21,390",181.7,1.8,117.7,"11,772"
E05000450,Perry Vale,Lewisham,"16,767",168.4,1.7,99.6,"9,957"
E05000451,Rushey Green,Lewisham,"18,225",178.1,1.8,102.3,"10,233"
E05000452,Sydenham,Lewisham,"16,912",174.5,1.7,96.9,"9,692"
E05000453,Telegraph Hill,Lewisham,"18,391",154.4,1.5,119.1,"11,911"
E05000454,Whitefoot,Lewisham,"15,666",222.4,2.2,70.4,"7,044"
E05000455,Abbey,Merton,"11,056",139.3,1.4,79.4,"7,937"
E05000456,Cannon Hill,Merton,"9,859",222.4,2.2,44.3,"4,433"
E05000457,Colliers Wood,Merton,"11,656",111.1,1.1,104.9,"10,491"
E05000458,Cricket Green,Merton,"12,617",299.7,3.0,42.1,"4,210"
E05000459,Dundonald,Merton,"10,101",115.1,1.2,87.8,"8,776"
E05000460,Figge's Marsh,Merton,"12,501",114.3,1.1,109.4,"10,937"
E05000461,Graveney,Merton,"10,262",88.4,0.9,116.1,"11,609"
E05000462,Hillside,Merton,"9,433",118.4,1.2,79.7,"7,967"
E05000463,Lavender Fields,Merton,"12,017",118,1.2,101.8,"10,184"
E05000464,Longthornton,Merton,"10,829",148.1,1.5,73.1,"7,312"
E05000465,Lower Morden,Merton,"8,904",180.8,1.8,49.2,"4,925"
E05000466,Merton Park,Merton,"10,699",181.7,1.8,58.9,"5,888"
E05000467,Pollards Hill,Merton,"10,706",215.9,2.2,49.6,"4,959"
E05000468,Ravensbury,Merton,"11,033",183.8,1.8,60.0,"6,003"
E05000469,Raynes Park,Merton,"10,334",185.3,1.9,55.8,"5,577"
E05000470,St. Helier,Merton,"11,582",184.2,1.8,62.9,"6,288"
E05000471,Trinity,Merton,"10,348",107.4,1.1,96.4,"9,635"
E05000472,Village,Merton,"8,538",621.8,6.2,13.7,"1,373"
E05000473,West Barnes,Merton,"11,084",195.1,2.0,56.8,"5,681"
E05000474,Wimbledon Park,Merton,"13,102",230,2.3,57.0,"5,697"
E05000475,Beckton,Newham,"18,047",625.6,6.3,28.8,"2,885"
E05000476,Boleyn,Newham,"18,963",91.6,0.9,207.0,"20,702"
E05000477,Canning Town North,Newham,"20,128",252.3,2.5,79.8,"7,978"
E05000478,Canning Town South,Newham,"23,477",181.7,1.8,129.2,"12,921"
E05000479,Custom House,Newham,"14,143",206.3,2.1,68.6,"6,856"
E05000480,East Ham Central,Newham,"17,039",103.9,1.0,164.0,"16,399"
E05000481,East Ham North,Newham,"14,074",90.4,0.9,155.7,"15,569"
E05000482,East Ham South,Newham,"16,062",181.2,1.8,88.6,"8,864"
E05000483,Forest Gate North,Newham,"16,388",124.6,1.2,131.5,"13,152"
E05000484,Forest Gate South,Newham,"18,488",119.2,1.2,155.1,"15,510"
E05000485,Green Street East,Newham,"17,217",74.3,0.7,231.7,"23,172"
E05000486,Green Street West,Newham,"16,236",80.5,0.8,201.7,"20,169"
E05000487,Little Ilford,Newham,"17,406",189.9,1.9,91.7,"9,166"
E05000488,Manor Park,Newham,"15,527",135,1.4,115.0,"11,501"
E05000489,Plaistow North,Newham,"16,438",98.1,1.0,167.6,"16,756"
E05000490,Plaistow South,Newham,"17,636",138.6,1.4,127.2,"12,724"
E05000491,Royal Docks,Newham,"20,983",479.3,4.8,43.8,"4,378"
E05000492,Stratford and New Town,Newham,"39,891",423.7,4.2,94.1,"9,415"
E05000493,Wall End,Newham,"15,747",137.9,1.4,114.2,"11,419"
E05000494,West Ham,Newham,"16,116",133.5,1.3,120.7,"12,072"
E05000495,Aldborough,Redbridge,"17,044",861.2,8.6,19.8,"1,979"
E05000496,Barkingside,Redbridge,"13,987",152.7,1.5,91.6,"9,160"
E05000497,Bridge,Redbridge,"12,472",257.9,2.6,48.4,"4,836"
E05000498,Chadwell,Redbridge,"16,520",151.4,1.5,109.1,"10,911"
E05000499,Church End,Redbridge,"13,217",149.2,1.5,88.6,"8,859"
E05000500,Clayhall,Redbridge,"13,568",249.1,2.5,54.5,"5,447"
E05000501,Clementswood,Redbridge,"20,959",127.1,1.3,164.9,"16,490"
E05000502,Cranbrook,Redbridge,"13,925",240.6,2.4,57.9,"5,788"
E05000503,Fairlop,Redbridge,"13,897",359.4,3.6,38.7,"3,867"
E05000504,Fullwell,Redbridge,"13,702",218.5,2.2,62.7,"6,271"
E05000505,Goodmayes,Redbridge,"14,580",164.8,1.6,88.5,"8,847"
E05000506,Hainault,Redbridge,"13,770",564.2,5.6,24.4,"2,441"
E05000507,Loxford,Redbridge,"22,246",128.7,1.3,172.9,"17,285"
E05000508,Mayfield,Redbridge,"14,575",188.4,1.9,77.4,"7,736"
E05000509,Monkhams,Redbridge,"11,492",307.5,3.1,37.4,"3,737"
E05000510,Newbury,Redbridge,"18,905",211.7,2.1,89.3,"8,930"
E05000511,Roding,Redbridge,"13,122",234.4,2.3,56.0,"5,598"
E05000512,Seven Kings,Redbridge,"18,986",208.2,2.1,91.2,"9,119"
E05000513,Snaresbrook,Redbridge,"13,184",198.6,2.0,66.4,"6,638"
E05000514,Valentines,Redbridge,"17,240",150.2,1.5,114.8,"11,478"
E05000515,Wanstead,Redbridge,"12,624",519.8,5.2,24.3,"2,429"
E05000516,Barnes,Richmond upon Thames,"10,371",301,3.0,34.5,"3,446"
E05000517,East Sheen,Richmond upon Thames,"11,515",583.5,5.8,19.7,"1,973"
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,"11,220",191.8,1.9,58.5,"5,850"
E05000519,"Ham, Petersham & Richmond Riverside",Richmond upon Thames,"11,205",944.6,9.4,11.9,"1,186"
E05000520,Hampton,Richmond upon Thames,"10,889",687.7,6.9,15.8,"1,583"
E05000521,Hampton North,Richmond upon Thames,"9,712",195,2.0,49.8,"4,981"
E05000522,Hampton Wick,Richmond upon Thames,"11,565",274.6,2.7,42.1,"4,212"
E05000523,Heathfield,Richmond upon Thames,"11,205",191.2,1.9,58.6,"5,860"
E05000524,Kew,Richmond upon Thames,"12,285",357.5,3.6,34.4,"3,436"
E05000525,Mortlake and Barnes Common,Richmond upon Thames,"12,126",193.8,1.9,62.6,"6,257"
E05000526,North Richmond,Richmond upon Thames,"12,319",280,2.8,44.0,"4,400"
E05000527,St. Margarets & North Twickenham,Richmond upon Thames,"13,353",200.6,2.0,66.6,"6,657"
E05000528,South Richmond,Richmond upon Thames,"11,547",269.2,2.7,42.9,"4,289"
E05000529,South Twickenham,Richmond upon Thames,"10,773",172.7,1.7,62.4,"6,238"
E05000530,Teddington,Richmond upon Thames,"11,438",429.6,4.3,26.6,"2,662"
E05000531,Twickenham Riverside,Richmond upon Thames,"11,324",196.2,2.0,57.7,"5,772"
E05000532,West Twickenham,Richmond upon Thames,"11,378",245.6,2.5,46.3,"4,633"
E05000533,Whitton,Richmond upon Thames,"10,826",162.3,1.6,66.7,"6,670"
E05000534,Brunswick Park,Southwark,"13,803",93.5,0.9,147.6,"14,763"
E05000535,Camberwell Green,Southwark,"16,900",97.5,1.0,173.3,"17,333"
E05000536,Cathedrals,Southwark,"21,668",176.3,1.8,122.9,"12,290"
E05000537,Chaucer,Southwark,"16,160",82.3,0.8,196.4,"19,635"
E05000538,College,Southwark,"12,736",323.4,3.2,39.4,"3,938"
E05000539,East Dulwich,Southwark,"13,719",101.9,1.0,134.6,"13,463"
E05000540,East Walworth,Southwark,"16,030",114.4,1.1,140.1,"14,012"
E05000541,Faraday,Southwark,"14,516",87.7,0.9,165.5,"16,552"
E05000542,Grange,Southwark,"19,215",120.5,1.2,159.5,"15,946"
E05000543,Livesey,Southwark,"18,067",143.6,1.4,125.8,"12,581"
E05000544,Newington,Southwark,"15,616",83.2,0.8,187.7,"18,769"
E05000545,Nunhead,Southwark,"14,866",132.2,1.3,112.5,"11,245"
E05000546,Peckham,Southwark,"16,038",87.2,0.9,183.9,"18,392"
E05000547,Peckham Rye,Southwark,"14,643",225.3,2.3,65.0,"6,499"
E05000548,Riverside,Southwark,"17,500",133.2,1.3,131.4,"13,138"
E05000549,Rotherhithe,Southwark,"17,422",149.2,1.5,116.8,"11,677"
E05000550,South Bermondsey,Southwark,"15,196",97.3,1.0,156.2,"15,618"
E05000551,South Camberwell,Southwark,"13,276",133.1,1.3,99.7,"9,974"
E05000552,Surrey Docks,Southwark,"17,285",190.1,1.9,90.9,"9,093"
E05000553,The Lane,Southwark,"17,139",139,1.4,123.3,"12,330"
E05000554,Village,Southwark,"13,029",278.8,2.8,46.7,"4,673"
E05000555,Beddington North,Sutton,"10,848",498,5.0,21.8,"2,178"
E05000556,Beddington South,Sutton,"11,360",306.1,3.1,37.1,"3,711"
E05000557,Belmont,Sutton,"10,935",233.7,2.3,46.8,"4,679"
E05000558,Carshalton Central,Sutton,"11,473",202.7,2.0,56.6,"5,660"
E05000559,Carshalton South and Clockhouse,Sutton,"10,973",705.6,7.1,15.6,"1,555"
E05000560,Cheam,Sutton,"11,449",393.8,3.9,29.1,"2,907"
E05000561,Nonsuch,Sutton,"11,597",190.6,1.9,60.8,"6,084"
E05000562,St. Helier,Sutton,"12,512",150,1.5,83.4,"8,341"
E05000563,Stonecot,Sutton,"11,331",198.1,2.0,57.2,"5,720"
E05000564,Sutton Central,Sutton,"14,326",131,1.3,109.4,"10,936"
E05000565,Sutton North,Sutton,"12,305",187.5,1.9,65.6,"6,563"
E05000566,Sutton South,Sutton,"10,691",127.2,1.3,84.0,"8,405"
E05000567,Sutton West,Sutton,"11,761",177.9,1.8,66.1,"6,611"
E05000568,The Wrythe,Sutton,"11,763",148.2,1.5,79.4,"7,937"
E05000569,Wallington North,Sutton,"12,247",161.7,1.6,75.7,"7,574"
E05000570,Wallington South,Sutton,"11,416",171.9,1.7,66.4,"6,641"
E05000571,Wandle Valley,Sutton,"14,792",205.5,2.1,72.0,"7,198"
E05000572,Worcester Park,Sutton,"13,448",195.7,2.0,68.7,"6,872"
E05000573,Bethnal Green North,Tower Hamlets,"15,299",82.3,0.8,185.9,"18,589"
E05000574,Bethnal Green South,Tower Hamlets,"15,082",88.1,0.9,171.2,"17,119"
E05000575,Blackwall and Cubitt Town,Tower Hamlets,"38,110",296.7,3.0,128.4,"12,845"
E05000576,Bow East,Tower Hamlets,"20,700",185.8,1.9,111.4,"11,141"
E05000577,Bow West,Tower Hamlets,"13,746",134.7,1.3,102.0,"10,205"
E05000578,Bromley-by-Bow,Tower Hamlets,"21,852",107.4,1.1,203.5,"20,346"
E05000579,East India and Lansbury,Tower Hamlets,"22,473",122.4,1.2,183.6,"18,360"
E05000580,Limehouse,Tower Hamlets,"19,115",114.2,1.1,167.4,"16,738"
E05000581,Mile End and Globe Town,Tower Hamlets,"15,571",90,0.9,173.0,"17,301"
E05000582,Mile End East,Tower Hamlets,"17,854",107,1.1,166.9,"16,686"
E05000583,Millwall,Tower Hamlets,"37,193",245.8,2.5,151.3,"15,131"
E05000584,St. Dunstan's and Stepney Green,Tower Hamlets,"18,693",101.8,1.0,183.6,"18,362"
E05000585,St. Katherine's and Wapping,Tower Hamlets,"16,015",150.6,1.5,106.3,"10,634"
E05000586,Shadwell,Tower Hamlets,"15,653",96.3,1.0,162.5,"16,254"
E05000587,Spitalfields and Banglatown,Tower Hamlets,"11,501",63.8,0.6,180.3,"18,027"
E05000588,Weavers,Tower Hamlets,"15,015",77.9,0.8,192.7,"19,275"
E05000589,Whitechapel,Tower Hamlets,"20,962",91.8,0.9,228.3,"22,834"
E05000590,Cann Hall,Waltham Forest,"14,346",86,0.9,166.8,"16,681"
E05000591,Cathall,Waltham Forest,"13,933",105.7,1.1,131.8,"13,182"
E05000592,Chapel End,Waltham Forest,"15,883",184.2,1.8,86.2,"8,623"
E05000593,Chingford Green,Waltham Forest,"11,052",372.8,3.7,29.6,"2,965"
E05000594,Endlebury,Waltham Forest,"11,863",195.9,2.0,60.6,"6,056"
E05000595,Forest,Waltham Forest,"13,254",198.5,2.0,66.8,"6,677"
E05000596,Grove Green,Waltham Forest,"16,271",89.8,0.9,181.2,"18,119"
E05000597,Hale End and Highams Park,Waltham Forest,"13,192",235,2.4,56.1,"5,614"
E05000598,Hatch Lane,Waltham Forest,"11,563",241.8,2.4,47.8,"4,782"
E05000599,High Street,Waltham Forest,"16,819",306.1,3.1,54.9,"5,495"
E05000600,Higham Hill,Waltham Forest,"17,106",322.2,3.2,53.1,"5,309"
E05000601,Hoe Street,Waltham Forest,"15,372",109.7,1.1,140.1,"14,013"
E05000602,Larkswood,Waltham Forest,"12,625",206.9,2.1,61.0,"6,102"
E05000603,Lea Bridge,Waltham Forest,"18,335",264.5,2.6,69.3,"6,932"
E05000604,Leyton,Waltham Forest,"18,198",203.6,2.0,89.4,"8,938"
E05000605,Leytonstone,Waltham Forest,"13,512",131,1.3,103.1,"10,315"
E05000606,Markhouse,Waltham Forest,"16,933",145.4,1.5,116.5,"11,646"
E05000607,Valley,Waltham Forest,"12,255",198.1,2.0,61.9,"6,186"
E05000608,William Morris,Waltham Forest,"17,445",99.9,1.0,174.6,"17,462"
E05000609,Wood Street,Waltham Forest,"15,355",184.5,1.8,83.2,"8,322"
E05000610,Balham,Wandsworth,"15,533",120.8,1.2,128.6,"12,858"
E05000611,Bedford,Wandsworth,"14,409",180.4,1.8,79.9,"7,987"
E05000612,Earlsfield,Wandsworth,"17,360",141.1,1.4,123.0,"12,303"
E05000613,East Putney,Wandsworth,"16,599",160.9,1.6,103.2,"10,316"
E05000614,Fairfield,Wandsworth,"17,545",145.5,1.5,120.6,"12,058"
E05000615,Furzedown,Wandsworth,"15,724",141.3,1.4,111.3,"11,128"
E05000616,Graveney,Wandsworth,"16,571",100.8,1.0,164.4,"16,439"
E05000617,Latchmere,Wandsworth,"16,100",108.5,1.1,148.4,"14,839"
E05000618,Nightingale,Wandsworth,"15,131",123.1,1.2,122.9,"12,292"
E05000619,Northcote,Wandsworth,"16,313",167.9,1.7,97.2,"9,716"
E05000620,Queenstown,Wandsworth,"28,298",320.8,3.2,88.2,"8,821"
E05000621,Roehampton,Wandsworth,"16,395",442.4,4.4,37.1,"3,706"
E05000622,St. Mary's Park,Wandsworth,"20,365",139.6,1.4,145.9,"14,588"
E05000623,Shaftesbury,Wandsworth,"14,589",94.8,0.9,153.9,"15,389"
E05000624,Southfields,Wandsworth,"18,199",152.2,1.5,119.6,"11,957"
E05000625,Thamesfield,Wandsworth,"18,207",192.1,1.9,94.8,"9,478"
E05000626,Tooting,Wandsworth,"17,411",160.4,1.6,108.5,"10,855"
E05000627,Wandsworth Common,Wandsworth,"15,870",276,2.8,57.5,"5,750"
E05000628,West Hill,Wandsworth,"16,969",168.8,1.7,100.5,"10,053"
E05000629,West Putney,Wandsworth,"15,561",184.6,1.8,84.3,"8,430"
E05000630,Abbey Road,Westminster,"13,431",109.5,1.1,122.7,"12,266"
E05000631,Bayswater,Westminster,"11,757",51.8,0.5,227.0,"22,697"
E05000632,Bryanston and Dorset Square,Westminster,"14,219",72.3,0.7,196.7,"19,667"
E05000633,Churchill,Westminster,"12,755",60.9,0.6,209.4,"20,944"
E05000634,Church Street,Westminster,"14,182",44.4,0.4,319.4,"31,941"
E05000635,Harrow Road,Westminster,"13,855",49.5,0.5,279.9,"27,990"
E05000636,Hyde Park,Westminster,"16,529",95.9,1.0,172.4,"17,236"
E05000637,Knightsbridge and Belgravia,Westminster,"10,308",359.3,3.6,28.7,"2,869"
E05000638,Lancaster Gate,Westminster,"15,379",63,0.6,244.1,"24,411"
E05000639,Little Venice,Westminster,"13,173",63.6,0.6,207.1,"20,712"
E05000640,Maida Vale,Westminster,"11,992",64.6,0.6,185.6,"18,563"
E05000641,Marylebone High Street,Westminster,"12,670",100.1,1.0,126.6,"12,657"
E05000642,Queen's Park,Westminster,"13,938",58.3,0.6,239.1,"23,907"
E05000643,Regent's Park,Westminster,"13,738",225.6,2.3,60.9,"6,090"
E05000644,St. James's,Westminster,"15,903",346.8,3.5,45.9,"4,586"
E05000645,Tachbrook,Westminster,"9,359",44.4,0.4,210.8,"21,079"
E05000646,Vincent Square,Westminster,"12,785",68.6,0.7,186.4,"18,637"
E05000647,Warwick,Westminster,"10,737",57.4,0.6,187.1,"18,706"
E05000648,Westbourne,Westminster,"14,417",67.4,0.7,213.9,"21,390"
E05000649,West End,Westminster,"13,749",199.6,2.0,68.9,"6,888"
E12000007,London,London,"9,390,069",159471.9,"1,594.7",58.9,"5,888"
